date,symbol,open,high,low,close,volume,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
29-08-2018,META,176.3,176.79,174.75,175.9,18678301,175.9,100,175.9,175.9,0,0,175.9,-43.62745098039166,175.9
28-08-2018,META,178.1,178.24,175.83,176.26,15910700,176.26,0,176.26,176.26,0,0,176.26,-82.15767634854859,176.26
27-08-2018,META,175.99,178.67,175.79,177.46,17921935,177.46,100,177.46,177.46,100,0,177.46,-42.013888888888246,177.46
24-08-2018,META,173.7,174.82,172.92,174.65,14631600,174.65,0,174.65,174.65,100,0,174.65,-8.947368421051946,174.65
23-08-2018,META,173.09,175.55,172.83,172.9,18053600,172.9,100,172.9,172.9,0,0,172.9,-97.42647058823556,172.9
22-08-2018,META,172.21,174.24,172.13,173.64,16894100,173.64,100,173.64,173.64,100,0,173.64,-28.436018957346864,173.64
21-08-2018,META,172.81,174.17,171.39,172.62,19578514,172.62,0,172.62,172.62,100,0,172.62,-55.755395683452605,172.62
20-08-2018,META,174.04,174.57,170.91,172.5,21518006,172.5,100,172.5,172.5,0,0,172.5,-56.55737704918019,172.5
17-08-2018,META,174.5,176.22,172.04,173.8,24893200,173.8,100,173.8,173.8,0,0,173.8,-57.89473684210486,173.8
16-08-2018,META,180.42,180.5,174.01,174.7,31351800,174.7,100,174.7,174.7,0,0,174.7,-89.36825885978433,174.7
15-08-2018,META,179.34,180.87,174.78,179.53,33020231,179.53,100,179.53,179.53,0,0,179.53,-22.00328407224963,179.53
14-08-2018,META,180.71,181.99,178.62,181.11,19102000,181.11,100,181.11,181.11,100,0,181.11,-26.112759643916743,181.11
13-08-2018,META,180.1,182.61,178.9,180.05,17423300,180.05,100,180.05,180.05,0,0,180.05,-69.00269541778967,180.05
10-08-2018,META,182.04,182.1,179.42,180.26,21500410,180.26,100,180.26,180.26,0,0,180.26,-68.6567164179104,180.26
09-08-2018,META,185.85,186.57,182.48,183.09,19732120,183.09,100,183.09,183.09,0,0,183.09,-85.08557457212682,183.09
08-08-2018,META,184.75,186.85,183.76,185.18,22205230,185.18,0,185.18,185.18,100,0,185.18,-54.04530744336523,185.18
07-08-2018,META,186.5,188.3,183.72,183.81,33398600,183.81,100,183.81,183.81,0,0,183.81,-98.03493449781652,183.81
06-08-2018,META,178.97,185.79,178.38,185.69,49716200,185.69,100,185.69,185.69,100,0,185.69,-1.349527665317063,185.69
03-08-2018,META,177.69,178.85,176.15,177.78,24763434,177.78,100,177.78,177.78,100,0,177.78,-39.62962962962954,177.78
02-08-2018,META,170.68,176.79,170.27,176.37,32400000,176.37,100,176.37,176.37,100,0,176.37,-6.44171779141087,176.37
01-08-2018,META,173.93,175.08,170.9,171.65,34042109,171.65,100,171.65,171.65,0,0,171.65,-82.05741626794261,171.65
31-07-2018,META,170.67,174.24,170.0,172.58,40356500,172.58,0,172.58,172.58,100,0,172.58,-39.15094339622625,172.58
