date,sector,exchange,pe
2024-07-02,Technology,NASDAQ,58.738326113557434
2024-07-01,Technology,NASDAQ,58.393619092864704
2024-06-28,Technology,NASDAQ,58.35156725408613
2024-06-27,Technology,NASDAQ,58.46616468648623
2024-06-26,Technology,NASDAQ,58.38092005565608
2024-06-25,Technology,NASDAQ,58.25552489608152
2024-06-24,Technology,NASDAQ,56.68488206545159
2024-06-21,Technology,NASDAQ,58.475395038484635
2024-06-20,Technology,NASDAQ,59.22700462083187
2024-06-19,Technology,NASDAQ,60.548385602059966
2024-06-18,Technology,NASDAQ,60.53749296187458
2024-06-17,Technology,NASDAQ,59.561577571973125
2024-06-14,Technology,NASDAQ,59.21824275058188
2024-06-13,Technology,NASDAQ,58.63404960132228
2024-06-12,Technology,NASDAQ,56.94186312438812
2024-06-11,Technology,NASDAQ,55.83837067352833
2024-06-10,Technology,NASDAQ,55.4920064661859
2024-06-07,Technology,NASDAQ,55.2031072187355
2024-06-06,Technology,NASDAQ,55.079555158784835
2024-06-05,Technology,NASDAQ,55.188805938444595
2024-06-04,Technology,NASDAQ,52.64284857676331
2024-06-03,Technology,NASDAQ,52.72133656512507
2024-05-31,Technology,NASDAQ,51.90113503545426
2024-05-30,Technology,NASDAQ,52.08210756645994
2024-05-29,Technology,NASDAQ,52.179845407406496
2024-05-28,Technology,NASDAQ,53.829179820165784
2024-05-27,Technology,NASDAQ,52.01009442492753
2024-05-24,Technology,NASDAQ,52.01009453232943
2024-05-23,Technology,NASDAQ,51.159907381727926
2024-05-22,Technology,NASDAQ,54.5430575355347
2024-05-21,Technology,NASDAQ,54.788710092551085
2024-05-20,Technology,NASDAQ,54.533622368553075
2024-05-17,Technology,NASDAQ,53.840322286804195
2024-05-16,Technology,NASDAQ,53.60605099424338
2024-05-15,Technology,NASDAQ,53.65564166951128
2024-05-14,Technology,NASDAQ,52.25170621201117
2024-05-13,Technology,NASDAQ,51.82755051258257
2024-05-10,Technology,NASDAQ,52.24520316371412
